id,name,value,yearid,subjectid
114,显示度,0.344581232162,1,10
115,显示度,0.216422924746,1,11
116,显示度,0.184900874517,1,12
117,显示度,0.11783319135,1,13
118,显示度,0.146364845754,1,14
119,显示度,0.119677122867,1,15
120,显示度,0.148,1,16
121,显示度,0.038211633868,1,17
122,显示度,0.149001047403,1,18
123,显示度,0.179381849545,1,19
124,显示度,0.092132701969,1,20
125,显示度,0.161328126391,1,21
126,显示度,0.225560971739,1,22
127,显示度,0.075629398522,1,23
128,显示度,0.166342688137,1,24
129,显示度,0.149085277992,1,25
130,显示度,0.17701986199,1,26
131,显示度,0.117895544457,1,27
132,显示度,0.096493298485,1,28
133,显示度,0.123534046969,1,29
134,显示度,0.157166533489,1,30
135,显示度,0.059388650802,1,31
136,显示度,0.082970158839,1,32
137,显示度,0.140860293945,1,33
138,显示度,0.119989454013,1,34
139,显示度,0.070277463821,1,35
140,显示度,0.087309823659,1,36
141,学科交叉度,0.743380425275956,1,2
142,学科交叉度,0.887015666542483,1,3
143,学科交叉度,0.885070006639565,1,4
144,学科交叉度,0.776842296743871,1,5
145,学科交叉度,0.825041759132859,1,6
146,学科交叉度,0.727626800537109,1,7
147,学科交叉度,0.902271392596574,1,8
148,学科交叉度,0.785476482232067,1,9
149,学科交叉度,0.84220090674733,1,10
150,学科交叉度,0.871367183759456,1,11
151,学科交叉度,0.796277017648225,1,12
152,学科交叉度,0.859049420704573,1,13
153,学科交叉度,0.869259626466076,1,14
154,学科交叉度,0.872000032758557,1,15
155,学科交叉度,0.889347077971927,1,16
156,学科交叉度,0.861749157287848,1,17
157,学科交叉度,0.856349943762531,1,18
158,学科交叉度,0.878385884144858,1,19
159,学科交叉度,0.84399158914037,1,20
160,学科交叉度,0.842179636957812,1,21
161,学科交叉度,0.71665679272656,1,22
162,学科交叉度,0.845428973651366,1,23
163,学科交叉度,0.674972165700464,1,24
164,学科交叉度,0.765702364788986,1,25
165,学科交叉度,0.882958488561201,1,26
166,学科交叉度,0.832335393711368,1,27
167,学科交叉度,0.782288865260786,1,28
168,学科交叉度,0.678004720386639,1,29
169,学科交叉度,0.836993302545821,1,30
170,学科交叉度,0.778284639760421,1,31
171,学科交叉度,0.819418277350347,1,32
172,学科交叉度,0.841655560183257,1,33
173,学科交叉度,0.877603148200738,1,34
174,学科交叉度,0.819751667783843,1,35
175,学科交叉度,0.860020675649136,1,36
176,综合度,0.727231876163127,1,2
177,综合度,0.699401721519866,1,3
178,综合度,0.658345857786285,1,4
179,综合度,0.631852856411724,1,5
180,综合度,0.618292936285012,1,6
181,综合度,0.616851618953004,1,7
182,综合度,0.571189966452251,1,8
183,综合度,0.568866217039816,1,9
184,综合度,0.562564476861778,1,10
185,综合度,0.5613617294638,1,11
186,综合度,0.556157709688893,1,12
187,综合度,0.523893674360916,1,13
188,综合度,0.505318256563347,1,14
189,综合度,0.471837630946847,1,15
190,综合度,0.469654012027197,1,16
191,综合度,0.463163184832574,1,17
192,综合度,0.457019087278412,1,18
193,综合度,0.44724254275852,1,19
194,综合度,0.423738424404748,1,20
195,综合度,0.394569561110286,1,21
196,综合度,0.392301896954732,1,22
197,综合度,0.385868331725476,1,23
198,综合度,0.385345983432122,1,24
199,综合度,0.378824727277084,1,25
200,综合度,0.362539097793789,1,26
201,综合度,0.35728590183156,1,27
202,综合度,0.345426055890886,1,28
203,综合度,0.335619807071114,1,29
204,综合度,0.305171916769275,1,30
205,综合度,0.288097862641746,1,31
206,综合度,0.284869422015259,1,32
207,综合度,0.283968686243883,1,33
208,综合度,0.279110923831628,1,34
209,综合度,0.22797972222628,1,35
210,综合度,0.206416384137541,1,36
